name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
user_reg,0,256,1,uint8_t,Writable registers for user testing,3,256,,,,,,,
sys.sn,256,12,1,uint8_t,Unique ID of the device,0,12,,,,DEVICE_SPECIFIC,,,
sys.fw_rev,268,,4,uint32_t,Firmware revision,0,,,,,,0,,
sys.if_rev,272,,4,uint32_t,Interface revision,0,,,,,,,,
sys.tick,276,,8,uint64_t,Tick in ms,0,,,,,,,,
sys.build_time.second,284,,1,uint8_t,The seconds in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.minute,285,,1,uint8_t,The minutes in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.hour,286,,1,uint8_t,The hours in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_month,287,,1,uint8_t,The months in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_week,288,,1,uint8_t,The week in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.month,289,,1,uint8_t,The month in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.year,290,,1,uint8_t,The last two digits of the year in decimal (20xx),0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.res,291,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
sys.device_num,292,,4,uint32_t,A constant number that should always be the same,0,,,,17061,,,,
sys.status,296,,1,sys_sr_t,Status of system,0,,,,,,,,
sys.status.update,296,,1,,Update available execute needed,0,,0,1,,,,,
sys.cr,297,,1,sys_cr_t,Control register for device,1,,,,,,,,
sys.cr.dut_rst,297,,1,,resets the DUT,1,,0,1,,,,,
sys.res,298,22,1,uint8_t,Reserved bytes,0,22,,,,,,,
i2c.mode,320,,1,i2c_mode_t,Specific modes for I2C,1,,,,,,,,
i2c.mode.addr_10_bit,320,,1,,10 bit address enable,1,,0,1,,,,,
i2c.mode.general_call,320,,1,,General call enable,1,,1,1,,,,,
i2c.mode.no_clk_stretch,320,,1,,Disable for clk stretch,1,,2,1,,,,,
i2c.mode.reg_16_bit,320,,1,,16 bit register access mode,1,,3,1,,,,,
i2c.mode.nack_data,320,,1,,Forces a data nack,1,,4,1,,,,,
i2c.status,321,,1,i2c_status_t,Specific modes for I2C,0,,,,,,,,
i2c.status.OVR,321,,1,,Overrun/Underrun: Request for new byte when not ready,0,,0,1,,,,,
i2c.status.AF,321,,1,,Acknowledge failure,0,,1,1,,,,,
i2c.status.BERR,321,,1,,Bus error:  Non-valid position during a byte transfer,0,,2,1,,,,,
i2c.status.GENCALL,321,,1,,General call address received,0,,3,1,,,,,
i2c.status.BUSY,321,,1,,i2c bus is BUSY,0,,4,1,,,,,
i2c.status.RSR,321,,1,,Repeated start detected,0,,5,1,,,,,
i2c.clk_stretch_delay,322,,2,uint16_t,Delay in us for clock stretch,1,,,,,,,,
i2c.slave_addr_1,324,,2,uint16_t,Primary slave address,1,,,,85,,125,124,8
i2c.slave_addr_2,326,,2,uint16_t,Secondary slave address,1,,,,66,,126,124,8
i2c.r_count,328,,1,uint8_t,Last read frame byte count,1,,,,,,,,
i2c.w_count,329,,1,uint8_t,Last write frame byte count,1,,,,,,,,
i2c.r_ticks,330,,4,uint32_t,Ticks for read byte,0,,,,,,,,
i2c.w_ticks,334,,4,uint32_t,Ticks for write byte,0,,,,,,,,
i2c.s_ticks,338,,4,uint32_t,Ticks for start and address,0,,,,,,,,
i2c.f_ticks,342,,4,uint32_t,Ticks for full frame,0,,,,,,,,
i2c.res,346,6,1,uint8_t,Reserved bytes,0,6,,,,,,,
spi.mode,352,,1,uint8_t,,1,,,,,,,,
spi.error_code,353,,4,uint32_t,,1,,,,,,,,
spi.res,357,11,1,uint8_t,Reserved bytes,0,11,,,,,,,
uart.mode,368,,1,uint8_t,Test mode,1,,,,,,,,
uart.baud,369,,4,uint32_t,Baudrate,1,,,,,,,,
uart.rx_count,373,,2,uint16_t,Number of received bytes,0,,,,,,,,
uart.tx_count,375,,2,uint16_t,Number of transmitted bytes,0,,,,,,,,
uart.ctrl,377,,1,uart_ctrl_t,UART control register,1,,,,,,,,
uart.ctrl.stop_bits,377,,1,,Number of stop bits,1,,0,1,,,,,
uart.ctrl.parity,377,,1,,Parity,1,,1,2,,,,,
uart.ctrl.rts,377,,1,,RTS pin state,1,,3,1,,,,,
uart.status,378,,1,uart_status_t,UART status register,0,,,,,,,,
uart.status.cts,378,,1,,CTS pin state,0,,0,1,,,,,
uart.status.pe,378,,1,,Parity error,0,,1,1,,,,,
uart.status.fe,378,,1,,Framing error,0,,2,1,,,,,
uart.status.nf,378,,1,,Noise detected flag,0,,3,1,,,,,
uart.status.ore,378,,1,,Overrun error,0,,4,1,,,,,
uart.res,379,5,1,uint8_t,Reserved bytes,0,5,,,,,,,
rtc.second,384,,1,uint8_t,The seconds in decimal,1,,,,,,,,
rtc.minute,385,,1,uint8_t,The minutes in decimal,1,,,,,,,,
rtc.hour,386,,1,uint8_t,The hours in decimal,1,,,,,,,,
rtc.day_of_month,387,,1,uint8_t,The months in decimal,1,,,,,,,,
rtc.day_of_week,388,,1,uint8_t,The week in decimal,1,,,,,,,,
rtc.month,389,,1,uint8_t,The month in decimal,1,,,,,,,,
rtc.year,390,,1,uint8_t,The last two digits of the year in decimal (20xx),1,,,,,,,,
rtc.res,391,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
adc[0].mode,392,,1,uint8_t,,1,,,,,,,,
adc[0].error_code,393,,2,uint16_t,,1,,,,,,,,
adc[0].sample_rate,395,,1,uint8_t,,1,,,,,,,,
adc[0].value,396,,4,uint32_t,,1,,,,,,,,
