access,array_size,bits,default,default_changed,description,flag,invalid,map_offset,max,min,name,permission,read_permission,readable,reserved,resolved_access,resolved_array_size,resolved_bit_offset,resolved_bits,resolved_default,resolved_max,resolved_min,resolved_offset,resolved_read_permission,resolved_total_size,resolved_type,resolved_type_size,resolved_write_permission,type,use_bitfields,use_defines,use_enums,writable,write_permission
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,0,,,user_reg[0],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,1,,,user_reg[1],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,2,,,user_reg[2],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,3,,,user_reg[3],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,4,,,user_reg[4],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,5,,,user_reg[5],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,6,,,user_reg[6],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,7,,,user_reg[7],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,8,,,user_reg[8],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,9,,,user_reg[9],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,10,,,user_reg[10],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,11,,,user_reg[11],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,12,,,user_reg[12],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,13,,,user_reg[13],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,14,,,user_reg[14],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,15,,,user_reg[15],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,16,,,user_reg[16],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,17,,,user_reg[17],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,18,,,user_reg[18],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,19,,,user_reg[19],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
read-write,256,,,,Writable registers for user testing - Starts at 0 and increases 1 each register by default,,,20,,,user_reg[20],interface,[0],False,,3,256,,,,,,0,0,256,uint8_t,1,3,uint8_t,False,False,False,True,"['interface', 'peripheral']"
